============================================================
EXPERIMENT START
Start time: 2025-12-30T12:36:50.096702
============================================================
[1767091010.098] TRIAL_START
[1767091020.128] STIMULATION type=visual+audio
[1767091030.143] STIMULATION type=visual+audio
[1767091039.745] MOVEMENT
[1767091039.778] MOVEMENT
[1767091039.810] MOVEMENT
[1767091039.842] MOVEMENT
[1767091039.873] MOVEMENT
[1767091039.905] MOVEMENT
[1767091039.937] MOVEMENT
[1767091039.970] MOVEMENT
[1767091040.001] MOVEMENT
[1767091040.049] MOVEMENT
[1767091040.081] MOVEMENT
[1767091040.114] MOVEMENT
[1767091040.146] MOVEMENT
[1767091040.174] STIMULATION type=visual+audio
[1767091040.178] MOVEMENT
[1767091040.209] MOVEMENT
[1767091040.244] MOVEMENT
[1767091040.273] MOVEMENT
[1767091040.305] MOVEMENT
[1767091040.338] MOVEMENT
[1767091040.369] MOVEMENT
[1767091040.417] MOVEMENT
[1767091040.785] MOVEMENT
[1767091040.817] MOVEMENT
[1767091040.852] MOVEMENT
[1767091040.881] MOVEMENT
[1767091040.916] MOVEMENT
[1767091040.946] MOVEMENT
[1767091040.977] MOVEMENT
[1767091041.010] MOVEMENT
[1767091041.041] MOVEMENT
[1767091041.075] MOVEMENT
[1767091041.105] MOVEMENT
[1767091041.136] MOVEMENT
[1767091041.186] MOVEMENT
[1767091041.186] REACTION movement_within_response_window
[1767091041.218] MOVEMENT
[1767091041.249] MOVEMENT
[1767091041.281] MOVEMENT
[1767091041.313] MOVEMENT
[1767091041.347] MOVEMENT
[1767091041.377] MOVEMENT
[1767091041.410] MOVEMENT
[1767091041.442] MOVEMENT
[1767091041.474] MOVEMENT
[1767091041.505] MOVEMENT
[1767091041.555] MOVEMENT
[1767091041.585] MOVEMENT
[1767091041.617] MOVEMENT
[1767091041.649] MOVEMENT
[1767091041.683] MOVEMENT
[1767091041.713] MOVEMENT
[1767091041.746] MOVEMENT
[1767091041.777] MOVEMENT
[1767091041.809] MOVEMENT
[1767091041.841] MOVEMENT
[1767091041.874] MOVEMENT
[1767091041.921] MOVEMENT
[1767091041.954] MOVEMENT
[1767091041.985] MOVEMENT
[1767091042.018] MOVEMENT
[1767091042.049] MOVEMENT
[1767091042.082] MOVEMENT
[1767091042.114] MOVEMENT
[1767091042.146] MOVEMENT
[1767091042.178] MOVEMENT
[1767091042.210] MOVEMENT
[1767091042.241] MOVEMENT
[1767091042.289] MOVEMENT
[1767091042.323] MOVEMENT
[1767091042.353] MOVEMENT
[1767091042.385] MOVEMENT
[1767091042.419] MOVEMENT
[1767091042.449] MOVEMENT
[1767091042.482] MOVEMENT
[1767091042.514] MOVEMENT
[1767091042.546] MOVEMENT
[1767091042.577] MOVEMENT
[1767091042.610] MOVEMENT
[1767091042.642] MOVEMENT
[1767091042.692] MOVEMENT
[1767091042.721] MOVEMENT
[1767091042.756] MOVEMENT
[1767091042.786] MOVEMENT
[1767091042.817] MOVEMENT
[1767091042.849] MOVEMENT
[1767091042.882] MOVEMENT
[1767091042.913] MOVEMENT
[1767091042.946] MOVEMENT
[1767091042.978] MOVEMENT
[1767091043.010] MOVEMENT
[1767091043.057] MOVEMENT
[1767091043.089] MOVEMENT
[1767091043.123] MOVEMENT
[1767091043.153] MOVEMENT
[1767091043.184] MOVEMENT
[1767091043.217] MOVEMENT
[1767091043.249] MOVEMENT
[1767091043.281] MOVEMENT
[1767091043.313] MOVEMENT
[1767091043.345] MOVEMENT
[1767091043.378] MOVEMENT
[1767091043.426] MOVEMENT
[1767091043.458] MOVEMENT
[1767091043.491] MOVEMENT
[1767091043.522] MOVEMENT
[1767091043.553] MOVEMENT
[1767091043.585] MOVEMENT
[1767091043.617] MOVEMENT
[1767091043.649] MOVEMENT
[1767091043.681] MOVEMENT
[1767091043.713] MOVEMENT
[1767091043.746] MOVEMENT
[1767091043.794] MOVEMENT
[1767091043.825] MOVEMENT
[1767091043.857] MOVEMENT
[1767091043.890] MOVEMENT
[1767091043.924] MOVEMENT
[1767091043.953] MOVEMENT
[1767091043.985] MOVEMENT
[1767091044.017] MOVEMENT
[1767091044.049] MOVEMENT
[1767091045.619] MOVEMENT
[1767091045.653] MOVEMENT
[1767091045.704] MOVEMENT
[1767091045.729] MOVEMENT
[1767091045.761] MOVEMENT
[1767091045.796] MOVEMENT
[1767091045.825] MOVEMENT
[1767091045.857] MOVEMENT
[1767091045.889] MOVEMENT
[1767091045.922] MOVEMENT
[1767091045.954] MOVEMENT
